"$match_per []","$muscle_per []","circ_rad [cm]","circ_wid [cm]","match_wid [cm]","Freq [GHz]","dB(St11) []"
26,50,0.6,0.1,0.5,2.4,-16.6772290443383
26,50,0.6,0.1,1,2.4,-14.5204582656281
26,50,0.7,0.1,0.5,2.4,-8.9276080675225
26,50,0.7,0.1,1,2.4,-12.0147978561197
26,50,0.8,0.1,0.5,2.4,-5.83873834194741
26,50,0.8,0.1,1,2.4,-7.03038462888823
26,50,0.9,0.2,0.5,2.4,-6.89074343746513
26,50,0.9,0.2,1,2.4,-7.59744319673099
26,50,1,0.2,0.5,2.4,-8.34488452218731
26,50,1,0.2,1,2.4,-7.63817485127724
26,50,1.1,0.2,0.5,2.4,-11.5630335656693
26,50,1.1,0.2,1,2.4,-10.7873040788972
32,40,0.6,0.1,0.5,2.4,-16.4764538090978
32,40,0.6,0.1,1,2.4,-23.6889272567115
32,40,0.7,0.1,0.5,2.4,-8.44507687440366
32,40,0.7,0.1,1,2.4,-9.39311216622137
32,40,0.8,0.1,0.5,2.4,-6.39697138613259
32,40,0.8,0.1,1,2.4,-6.42734733166321
32,40,0.9,0.2,0.5,2.4,-8.0730636197749
32,40,0.9,0.2,1,2.4,-8.42617498704316
32,40,1,0.2,0.5,2.4,-10.9819696774375
32,40,1,0.2,1,2.4,-11.7844111240203
32,40,1.1,0.2,0.5,2.4,-12.2901001884554
32,40,1.1,0.2,1,2.4,-14.0235226130341
34,50,0.6,0.1,0.5,2.4,-14.1691004694149
34,50,0.6,0.1,1,2.4,-22.9602579917891
34,50,0.7,0.1,0.5,2.4,-7.71504249473308
34,50,0.7,0.1,1,2.4,-9.05945067949067
34,50,0.8,0.1,0.5,2.4,-6.61627741573299
34,50,0.8,0.1,1,2.4,-6.95004661898651
34,50,0.9,0.2,0.5,2.4,-8.61133647904926
34,50,0.9,0.2,1,2.4,-9.18780940091298
34,50,1,0.2,0.5,2.4,-12.076902083775
34,50,1,0.2,1,2.4,-13.0320973136396
34,50,1.1,0.2,0.5,2.4,-11.3564501129782
34,50,1.1,0.2,1,2.4,-12.5475178207727
42,50,0.6,0.1,0.5,2.4,-11.9450307666366
42,50,0.6,0.1,1,2.4,-12.4068275292584
42,50,0.7,0.1,0.5,2.4,-7.58700375422141
42,50,0.7,0.1,1,2.4,-7.02573258412863
42,50,0.8,0.1,0.5,2.4,-9.33074244775781
42,50,0.8,0.1,1,2.4,-8.46233047308901
42,50,0.9,0.2,0.5,2.4,-11.0782695721352
42,50,0.9,0.2,1,2.4,-10.8490644703293
42,50,1,0.2,0.5,2.4,-11.8186519172443
42,50,1,0.2,1,2.4,-12.8568963888988
42,50,1.1,0.2,0.5,2.4,-9.26886180401483
42,50,1.1,0.2,1,2.4,-9.49318854722603
