"torus_rad [cm]","wire_wid [cm]","Freq [GHz]","dB(St11) []"
1.2,0.1,1.11,-10.3220199288116
1.2,0.1,1.12,-10.9843569791031
1.2,0.1,1.13,-11.6613552854227
1.2,0.1,1.14,-12.3397317475334
1.2,0.1,1.15,-13.0003665297392
1.2,0.1,1.16,-13.6174652520189
1.2,0.1,1.17,-14.1591448913682
1.2,0.1,1.18,-14.5906715694968
1.2,0.1,1.19,-14.8809324765146
1.2,0.1,1.2,-15.0106542678013
1.2,0.1,1.21,-14.9785046149618
1.2,0.1,1.22,-14.8013326219423
1.2,0.1,1.23,-14.5083919597529
1.2,0.1,1.24,-14.1331368493696
1.2,0.1,1.25,-13.7065600465604
1.2,0.1,1.26,-13.2537440721307
1.2,0.1,1.27,-12.7931421709497
1.2,0.1,1.28,-12.3373664683596
1.2,0.1,1.29,-11.8944855886618
1.2,0.1,1.3,-11.4692892919322
1.2,0.1,1.31,-11.0643158616861
1.2,0.1,1.32,-10.680613937544
1.2,0.1,1.33,-10.318278704827
1.2,0.1,1.34,-9.97681727878132
1.2,0.1,1.35,-9.65539231309277
1.2,0.1,1.36,-9.35298167900861
1.2,0.1,1.37,-9.06848144897424
1.2,0.1,1.38,-8.80077105891086
1.2,0.1,1.39,-8.54875345784891
1.2,0.1,1.4,-8.31137883554791
1.2,0.1,1.41,-8.08765765203647
1.2,0.1,1.42,-7.87666676873616
1.2,0.1,1.43,-7.67755119721802
1.2,0.1,1.44,-7.48952312765663
1.2,0.1,1.45,-7.31185933125328
1.2,0.1,1.46,-7.14389765326228
1.2,0.1,1.47,-6.98503306195416
1.2,0.1,1.48,-6.83471355160151
1.2,0.1,1.49,-6.69243608636227
1.2,0.1,1.5,-6.55774269816949
1.2,0.1,1.51,-6.43021680304277
1.2,0.1,1.52,-6.30947976835679
1.2,0.1,1.53,-6.19518774300319
1.2,0.1,1.54,-6.08702874934654
1.2,0.1,1.55,-5.98472002789675
1.2,0.1,1.56,-5.88800562100668
1.2,0.1,1.57,-5.79665417950903
1.2,0.1,1.58,-5.71045697525534
1.2,0.1,1.59,-5.6292261024867
1.2,0.1,1.6,-5.552792851496
1.2,0.1,1.61,-5.48100623889714
1.2,0.1,1.62,-5.41373167983713
1.2,0.1,1.63,-5.3508497885679
1.2,0.1,1.64,-5.29225529486799
1.2,0.1,1.65,-5.23785606482513
1.2,0.1,1.66,-5.18757221543621
1.2,0.1,1.67,-5.14133531333514
1.2,0.1,1.68,-5.09908764871802
1.2,0.1,1.69,-5.06078157619861
1.2,0.1,1.7,-5.02637891490163
1.2,0.1,1.71,-4.99585040059347
1.2,0.1,1.72,-4.9691751830728
1.2,0.1,1.73,-4.94634036240757
1.2,0.1,1.74,-4.92734055792679
1.2,0.1,1.75,-4.91217750416775
1.2,0.1,1.76,-4.90085966825996
1.2,0.1,1.77,-4.89340188350851
1.2,0.1,1.78,-4.88982499423693
1.2,0.1,1.79,-4.89015550727341
1.2,0.1,1.8,-4.89442524582294
1.2,0.1,1.81,-4.90267100186597
1.2,0.1,1.82,-4.91493418366035
1.2,0.1,1.83,-4.93126045539311
1.2,0.1,1.84,-4.95169936652002
1.2,0.1,1.85,-4.97630396882765
1.2,0.1,1.86,-5.00513041973457
1.2,0.1,1.87,-5.03823757078972
1.2,0.1,1.88,-5.07568654070019
1.2,0.1,1.89,-5.11754027249943
1.2,0.1,1.9,-5.16386307462267
1.2,0.1,1.91,-5.21472014566421
1.2,0.1,1.92,-5.27017708242902
1.2,0.1,1.93,-5.33029937054216
1.2,0.1,1.94,-5.39515185633233
1.2,0.1,1.95,-5.46479819795299
1.2,0.1,1.96,-5.5393002927455
1.2,0.1,1.97,-5.61871767668552
1.2,0.1,1.98,-5.70310689039284
1.2,0.1,1.99,-5.79252080463316
1.2,0.1,2,-5.88700789650827
1.2,0.1,2.01,-5.9866114656263
1.2,0.1,2.02,-6.09136877747729
1.2,0.1,2.03,-6.20131011901999
1.2,0.1,2.04,-6.31645774912731
1.2,0.1,2.05,-6.43682472405506
1.2,0.1,2.06,-6.56241357552026
1.2,0.1,2.07,-6.69321481633893
1.2,0.1,2.08,-6.82920524594362
1.2,0.1,2.09,-6.97034602557232
1.2,0.1,2.1,-7.11658049063374
1.2,0.1,2.11,-7.26783166591264
1.2,0.1,2.12,-7.42399944816739
1.2,0.1,2.13,-7.5849574206832
1.2,0.1,2.14,-7.75054926600469
1.2,0.1,2.15,-7.92058474707512
1.2,0.1,2.16,-8.09483523424808
1.2,0.1,2.17,-8.27302876723188
1.2,0.1,2.18,-8.45484465834247
1.2,0.1,2.19,-8.63990766808599
1.2,0.1,2.2,-8.82778181787246
1.2,0.1,2.21,-9.0179639494713
1.2,0.1,2.22,-9.20987719843546
1.2,0.1,2.23,-9.40286462045786
1.2,0.1,2.24,-9.59618329582186
1.2,0.1,2.25,-9.78899933639433
1.2,0.1,2.26,-9.98038432797568
1.2,0.1,2.27,-10.1693138505207
1.2,0.1,2.28,-10.3546688172205
1.2,0.1,2.29,-10.535240442537
1.2,0.1,2.3,-10.7097396652728
1.2,0.1,2.31,-10.8768117876965
1.2,0.1,2.32,-11.0350569169621
1.2,0.1,2.33,-11.1830564870966
1.2,0.1,2.34,-11.3194056887483
1.2,0.1,2.35,-11.4427510528177
1.2,0.1,2.36,-11.551831767375
